"ID","Count"
18288,475.101182186811
18289,375.389671049283
18290,336.180404462623
18291,294.082310607891
18292,234.481941556964
18293,234.158830486179
18294,268.522725138307
18295,336.236814992532
18296,360.809088199939
18297,434.49538570968
18298,689.710799264119
18299,817.477713061896
18300,754.851166240977
18301,657.061057775166
18302,656.018302377472
18303,678.155716918952
18304,655.152610043646
18305,709.500287373552
18306,676.693760940415
18307,850.4547351418
18308,742.585578463974
18309,693.25933181603
18310,632.541001210595
18311,649.066212055771
18312,511.358927474023
18313,401.917668204162
18314,380.213658165455
18315,304.352118863636
18316,264.901468034603
18317,252.256185161699
18318,306.439396477224
18319,369.838299809683
18320,396.08550734671
18321,440.99774805995
18322,709.241020743515
18323,853.906608226084
18324,802.689069118323
18325,699.237203564397
18326,694.729329852582
18327,707.187703154057
18328,700.296960686836
18329,762.028728508262
18330,750.158907991766
18331,938.857196716556
18332,805.859606043156
18333,758.169756236275
18334,668.914987852498
18335,681.272418438282
18336,544.01376457399
18337,430.427696499482
18338,408.87224564401
18339,330.639549324163
18340,275.133016140515
18341,267.945709430319
18342,322.371345939845
18343,392.840332548429
18344,407.068780295889
18345,457.744636057791
18346,702.275839043524
18347,764.742286035392
18348,736.027454917486
18349,661.497663893655
18350,650.806268948079
18351,686.468977678652
18352,666.0136331527
18353,691.718732737988
18354,698.456053183944
18355,881.395655436563
18356,756.407869515583
18357,714.637120199323
18358,623.576959198946
18359,615.479739049588
18360,507.599588348468
18361,400.650617134938
18362,372.673951262979
18363,308.491417225891
18364,256.7751356942
18365,250.409132823962
18366,297.410502296811
18367,364.670253661374
18368,386.49728841792
18369,443.393369357695
18370,698.742341035831
18371,808.806002755001
18372,761.907960159474
18373,670.696813389904
18374,665.303871949473
18375,689.117007990931
18376,672.104628374252
18377,718.737505425183
18378,706.171015235253
18379,887.603726773223
18380,766.281841384227
18381,720.133886208419
18382,640.214516519907
18383,646.781624653661
18384,519.841963895319
18385,410.070699426418
18386,386.23954683719
18387,313.768972577419
18388,265.115496042099
18389,256.375255596516
18390,308.111919892753
18391,375.047439143614
18392,396.01695777293
18393,446.87908223925
18394,702.990126054774
18395,808.516513031235
18396,766.403254295069
18397,676.813870925053
18398,669.972846858473
18399,693.975833363076
18400,679.183130646687
18401,723.737787283293
18402,717.867652657685
18403,902.174688015345
18404,775.869920930548
18405,730.680917825162
18406,644.045647008832
18407,647.558246021401
18408,523.672746122837
18409,413.595333902769
18410,389.106691677076
18411,317.535377739129
18412,265.63426024747
18413,258.19153977615
18414,309.232918956095
18415,377.443695593317
18416,396.508096340581
18417,449.296245365607
18418,701.262096006213
18419,793.465732495185
18420,754.488249261893
18421,669.557124248865
18422,661.871085766853
18423,689.785915762977
18424,672.361001607423
18425,711.116248379672
18426,707.43289166864
18427,890.339762298196
18428,766.104462315577
18429,721.776118110196
18430,635.796244123776
18431,636.270819220181
18432,516.935789737713
18433,408.030096508293
18434,382.550745325703
18435,313.230326147653
18436,262.434231820499
18437,254.946622131491
18438,304.824070944607
18439,372.305611389397
18440,392.930114834488
18441,446.499789182681
18442,700.937295951239
18443,803.424197512366
18444,760.786473897153
18445,672.249827213662
18446,665.609802312601
18447,690.885737653874
18448,674.4464857198
18449,717.716034534829
18450,710.3355153958
18451,893.190637664655
18452,769.28221444093
18453,724.064026249432
18454,639.922986488443
18455,643.419174366685
18456,520.07069200557
18457,410.498930823291
18458,385.892508578114
18459,314.789693830713
18460,264.361947493597
18461,256.467530993812
18462,307.344064031065
18463,374.876126774139
18464,395.116058331839
18465,447.522498690616
18466,701.724443478857
18467,801.892614846186
18468,760.622380614287
18469,672.904758227921
18470,665.85836620311
18471,691.563043702078
18472,675.357168102418
18473,717.590495260984
18474,711.917082237221
18475,895.276304828256
18476,770.459829917034
18477,725.540116431388
18478,639.96721514302
18479,642.486089524984
18480,520.262286851913
18481,410.736844394711
18482,385.88571496631
18483,315.204915746079
18484,264.164009370174
18485,256.552988030582
18486,307.160632154935
18487,374.904280507067
18488,394.875390551403
18489,447.786930726374
18490,701.312205326096
18491,799.533346104007
18492,758.60079752294
18493,671.562100414247
